id,tag
0,sunglasses
1,open
2,sunglasses
3,sunglasses
4,sunglasses
5,sunglasses
6,open
7,sunglasses
8,open
9,open
10,open
11,open
12,sunglasses
13,sunglasses
14,sunglasses
15,sunglasses
16,sunglasses
17,sunglasses
18,open
19,open
20,open
21,sunglasses
22,open
23,open
24,open
25,sunglasses
26,open
27,open
28,open
29,open
30,sunglasses
31,sunglasses
32,open
33,sunglasses
34,sunglasses
35,sunglasses
36,sunglasses
37,open
38,open
39,open
40,sunglasses
41,sunglasses
42,sunglasses
43,sunglasses
44,open
45,open
46,open
47,sunglasses
48,sunglasses
49,open
50,sunglasses
51,open
52,open
53,sunglasses
54,open
55,sunglasses
56,open
57,sunglasses
58,sunglasses
59,open
60,open
61,sunglasses
62,open
63,open
64,sunglasses
65,open
66,open
67,open
68,open
69,sunglasses
70,sunglasses
71,sunglasses
72,open
73,open
74,open
75,open
76,open
77,open
78,open
79,open
80,sunglasses
81,sunglasses
82,sunglasses
83,sunglasses
84,open
85,sunglasses
86,sunglasses
87,sunglasses
88,sunglasses
89,open
90,sunglasses
91,open
92,open
93,sunglasses
94,sunglasses
95,sunglasses
96,sunglasses
97,sunglasses
98,sunglasses
99,sunglasses
100,open
101,open
102,open
103,sunglasses
104,sunglasses
105,open
106,sunglasses
107,sunglasses
108,sunglasses
109,open
110,open
111,open
112,open
113,sunglasses
114,open
115,open
116,sunglasses
117,open
118,open
119,open
120,open
121,open
122,sunglasses
123,sunglasses
124,sunglasses
125,sunglasses
126,open
127,sunglasses
128,sunglasses
129,sunglasses
130,open
131,sunglasses
132,sunglasses
133,open
134,sunglasses
135,sunglasses
136,sunglasses
137,open
138,sunglasses
139,sunglasses
140,open
141,open
142,open
143,open
144,open
145,open
146,open
147,open
148,sunglasses
149,sunglasses
150,sunglasses
151,sunglasses
152,open
153,sunglasses
154,open
155,open
156,open
157,sunglasses
158,sunglasses
159,open
160,sunglasses
161,open
162,sunglasses
163,open
164,sunglasses
165,open
166,open
167,open
168,sunglasses
169,open
170,sunglasses
171,sunglasses
172,open
173,sunglasses
174,open
175,open
176,sunglasses
177,open
178,open
179,open
180,sunglasses
181,sunglasses
182,sunglasses
183,open
184,sunglasses
185,sunglasses
186,open
187,open
188,open
189,sunglasses
190,sunglasses
191,sunglasses
192,sunglasses
193,open
194,open
195,sunglasses
196,sunglasses
197,open
198,sunglasses
199,open
200,open
201,open
202,sunglasses
203,open
204,open
205,sunglasses
206,open
207,open
208,open
209,open
210,open
211,sunglasses
212,sunglasses
213,sunglasses
214,sunglasses
215,sunglasses
216,open
217,sunglasses
218,open
219,sunglasses
220,sunglasses
221,open
222,sunglasses
223,sunglasses
224,open
225,open
226,sunglasses
227,sunglasses
228,sunglasses
229,open
230,sunglasses
231,open
232,sunglasses
233,sunglasses
234,sunglasses
235,open
236,open
237,open
238,open
239,open
240,open
241,sunglasses
242,open
243,open
244,sunglasses
245,sunglasses
246,open
247,open
248,open
249,sunglasses
250,open
251,sunglasses
252,sunglasses
253,sunglasses
254,sunglasses
255,open
256,sunglasses
257,open
258,sunglasses
259,sunglasses
260,sunglasses
261,sunglasses
262,open
263,sunglasses
264,open
265,open
266,open
267,open
268,open
269,open
270,open
271,open
272,sunglasses
273,sunglasses
274,sunglasses
275,open
276,sunglasses
277,sunglasses
278,sunglasses
279,open
280,sunglasses
281,sunglasses
282,sunglasses
283,open
284,open
285,sunglasses
286,open
287,open
288,sunglasses
289,sunglasses
290,open
291,sunglasses
292,sunglasses
293,open
294,sunglasses
295,sunglasses
296,sunglasses
297,sunglasses
298,sunglasses
299,open
300,open
301,sunglasses
302,open
303,open
304,sunglasses
305,open
306,sunglasses
307,open
308,open
309,open
310,sunglasses
311,sunglasses
312,open
313,open
314,open
315,open
316,sunglasses
317,sunglasses
318,open
319,sunglasses
320,open
321,sunglasses
322,sunglasses
323,open
324,open
325,sunglasses
326,open
327,sunglasses
328,open
329,sunglasses
330,open
331,open
332,open
333,open
334,open
335,sunglasses
336,open
337,sunglasses
338,sunglasses
339,open
340,sunglasses
341,sunglasses
342,open
343,sunglasses
344,sunglasses
345,sunglasses
346,open
347,open
348,sunglasses
349,open
350,sunglasses
351,sunglasses
352,open
353,sunglasses
354,sunglasses
355,sunglasses
356,open
357,sunglasses
358,open
359,open
360,open
361,open
362,sunglasses
363,sunglasses
364,sunglasses
365,sunglasses
366,sunglasses
367,open
368,sunglasses
369,open
370,open
371,open
372,open
373,sunglasses
374,sunglasses
375,open
376,open
377,sunglasses
